"city_id","city_jjk","longitude","latitude","towns_rhine"
141,"MARBURG",8.76679,50.8022,0
142,"MARIENBERG",13.1623,50.6504,0
143,"MECKLENBURG",11.4667,53.85,0
144,"MEININGEN",10.419,50.5739,0
145,"MEISSEN",13.4977,51.1618,0
146,"MEMMINGEN",10.1802,47.9838,0
147,"MERSEBURG",11.9917,51.3563,0
148,"METTMANN",6.97403,51.2507,0
149,"MICHELSTADT",9.00416,49.68,0
150,"MINDEN",8.89492,52.2965,0
151,"MITTWEIDA",12.9741,50.9853,0
152,"MUELHEIMANDERRUHR",6.88452,51.4186,1
153,"MUENCHEN",11.582,48.1351,0
154,"MUENSTER",7.62613,51.9607,0
155,"NAUEN",12.8815,52.6069,0
156,"NAUMBURG",11.8049,51.1515,0
157,"NEUBRANDENBURG",13.2779,53.5678,0
158,"NEUBURG",11.1888,48.7303,0
159,"NEURUPPIN",12.7991,52.9155,0
160,"NEUSS",6.68795,51.2042,1
161,"NEUSTRELITZ",13.073,53.3601,0
162,"NEUWIED",7.46164,50.4427,1
163,"NOERDLINGEN",10.4981,48.8502,0
164,"NORDEN",7.19672,53.5988,0
165,"NORDHAUSEN",10.7916,51.4991,0
166,"NUERNBERG",11.0768,49.452,0
167,"OFFENBACH",8.77608,50.0956,0
168,"OLDENBURG",8.21455,53.1435,0
169,"OPPENHEIM",8.36027,49.8519,1
170,"OSNABRUECK",8.04718,52.2799,0
171,"PADERBORN",8.75751,51.7189,0
172,"PASSAU",13.4319,48.5667,0
173,"PFORZHEIM",8.69329,48.8926,0
174,"PIRMASENS",7.60022,49.2016,0
175,"PIRNA",13.9419,50.9625,0
176,"PLAUEN",12.1369,50.4976,0
177,"POTSDAM",13.0727,52.3942,0
178,"PRENZLAU",13.8633,53.3173,0
179,"QUEDLINBURG",11.1414,51.7921,0
180,"RADEVORMWALD",7.35909,51.2016,0
181,"RATZEBURG",10.7711,53.699,0
182,"RAVENSBURG",9.61213,47.7783,0
183,"REGENSBURG",12.1009,49.0145,0
184,"REICHENBACH",12.3031,50.6208,0
185,"REMSCHEID",7.18903,51.1789,0
186,"RENDSBURG",9.65899,54.3075,0
187,"REUTLINGEN",9.2038,48.5069,0
188,"RHEINE",7.44341,52.2816,0
189,"RHEYDT",6.44696,51.1687,0
190,"ROCHLITZ",12.7944,51.0507,0
191,"ROSTOCK",12.1004,54.0834,0
192,"ROTHENBURGOBDERTAUBER",10.1867,49.3802,0
193,"ROTTENBURGAMNECKAR",8.94095,48.4791,0
194,"SAARBRUECKEN",6.99693,49.2402,0
195,"SAARLOUIS",6.75229,49.3135,0
196,"SALZWEDEL",11.1574,52.8531,0
197,"SCHLESWIG",9.56323,54.5239,0
198,"SCHMALKALDEN",10.4546,50.7234,0
199,"SCHNEEBERG",12.6386,50.5955,0
200,"SCHORNDORF",9.52962,48.8015,0
201,"SCHWABACH",11.0247,49.3285,0
202,"SCHWAEBISCHGMUEND",9.80457,48.7994,0
203,"SCHWAEBISCHHALL",9.74559,49.1167,0
204,"SCHWEINFURT",10.2194,50.0492,0
205,"SCHWERIN",11.4012,53.6355,0
206,"SIEGEN",8.02096,50.8838,0
207,"SOEST",8.10575,51.5711,0
208,"SOLINGEN",7.05426,51.1704,0
209,"SPANDAU",13.1667,52.5333,0
210,"SPEYER",8.43622,49.3205,1
211,"STADE",9.47095,53.5929,0
212,"STENDAL",11.8538,52.6041,0
213,"STRALSUND",13.0877,54.2994,0
214,"STRAUBING",12.5802,48.8777,0
215,"STUTTGART",9.18176,48.7754,0
216,"SUHL",10.6881,50.6077,0
217,"TOENNING",8.93811,54.3157,0
218,"TORGAU",12.9916,51.5579,0
219,"TRIER",6.63714,49.75,0
220,"TUEBINGEN",9.05764,48.5216,0
221,"UEBERLINGEN",9.17028,47.7662,0
222,"ULM",9.98761,48.4011,0
223,"UNNA",7.68531,51.5426,0
224,"VELBERT",7.04268,51.3371,0
225,"VERDEN",9.23783,52.925,0
226,"VIERSEN",6.39652,51.2555,0
227,"WARBURG",9.14519,51.4899,0
228,"WEIMAR",11.3225,50.9847,0
229,"WEISSENFELS",11.9689,51.1973,0
230,"WERDEN",7.003,51.3884,0
231,"WESEL",6.62957,51.6643,1
232,"WETZLAR",8.50816,50.559,0
233,"WIESBADEN",8.24334,50.0631,1
234,"WISMAR",11.4516,53.8979,0
235,"WITTENBERG",12.628,51.874,0
236,"WOLFENBUETTEL",10.5408,52.164,0
237,"WORMS",8.35072,49.6341,1
238,"WUELFRATH",7.03496,51.2803,0
239,"WUERZBURG",9.95357,49.7916,0
240,"XANTEN",6.44865,51.6571,1
241,"ZEITZ",12.1403,51.0443,0
242,"ZERBST",12.0877,51.9646,0
243,"ZITTAU",14.803,50.9,0
244,"ZWEIBRUECKEN",7.36554,49.2491,0
245,"ZWICKAU",12.4734,50.7102,0
246,"BADISCHL",13.621,47.7124,0
247,"DORNBIRN",9.74379,47.4124,1
248,"EISENSTADT",16.528,47.8464,0
249,"GMUNDEN",13.7993,47.9184,0
250,"GRAZ",15.4395,47.0707,0
251,"INNSBRUCK",11.4041,47.2692,0
252,"KLAGENFURT",14.309,46.6279,0
253,"KREMS",15.6038,48.41,0
254,"LINZ",14.2858,48.3069,0
255,"MATTERSBURG",16.3966,47.7362,0
256,"NEUNKIRCHEN",16.0812,47.7261,0
257,"SALZBURG",13.055,47.8095,0
258,"SCHWAZ",11.7058,47.3502,0
259,"STEYR",14.4183,48.0501,0
260,"WELS",14.0366,48.1654,0
261,"WIEN",16.3738,48.2082,0
262,"WIENERNEUSTADT",16.2332,47.8028,0
263,"AALST",4.04095,50.9378,0
264,"AARSCHOT",4.83652,50.986,0
265,"ANTWERPEN",4.40246,51.2194,0
266,"ARDOOIE",3.19912,50.9768,0
267,"ARLON",5.81048,49.6851,0
268,"ATH",3.77699,50.6304,0
269,"BEVEREN",4.25816,51.2132,0
270,"BINCHE",4.1659,50.4122,0
271,"BOUILLON",5.0819,49.7956,0
272,"BRUGGE",3.2247,51.2093,0
273,"BRUXELLES",4.35171,50.8503,0
274,"CHARLEROI",4.44464,50.4108,0
275,"DEINZE",3.52359,50.9875,0
276,"DENDERMONDE",4.10195,51.0255,0
277,"DIEST",5.05016,50.9896,0
278,"DINANT",4.91275,50.2605,0
279,"DOUR",3.78279,50.4,0
280,"EEKLOO",3.56389,51.1853,0
281,"ENGHIEN",2.30348,48.9709,0
282,"EUPEN",6.03371,50.6292,0
283,"EVERGEM",3.70672,51.11,0
284,"GENT",3.71742,51.0543,0
285,"GEERAARDSBERGEN",3.87516,50.7707,0
286,"HALLE",4.23251,50.7376,0
287,"HAMME",4.14027,51.0902,0
288,"HASSELT",5.33248,50.9307,0
289,"HUY",5.23967,50.5187,0
290,"IEPER",2.87794,50.8492,0
291,"IZEGEM",3.21322,50.9181,0
292,"JUMET",4.43703,50.4427,0
293,"KORTRIJK",3.25773,50.8195,0
294,"KRUISHOUTEM",3.52814,50.9045,0
295,"LEUVEN",4.70433,50.8776,0
296,"LIEGE",5.57967,50.6326,0
297,"LIER",4.57151,51.1302,0
298,"LOKEREN",3.99407,51.1023,0
299,"MALMEDY",6.02833,50.4246,0
300,"MECHELEN",4.47754,51.0259,0
301,"MENEN",3.12134,50.7963,0
