	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)
	jewpers13471352_x		jewpers13531400_x		jewpers13531500_x		jewpers13531600_x		jewpers13411346_x		jewpers13211346_x		jewpers13001346_x		jewpers12001346_x	
VARIABLES	coef	se	coef	se	coef	se	coef	se	coef	se	coef	se	coef	se	coef	se
																
mortality	-0.009***	[0.002]	-0.004*	[0.002]	-0.000	[0.002]	-0.000	[0.002]	0.001	[0.000]	-0.001	[0.001]	-0.001	[0.002]	-0.003	[0.002]
Constant	0.831***	[0.104]	0.404***	[0.098]	0.640***	[0.099]	0.731***	[0.088]	-0.004	[0.004]	0.144**	[0.068]	0.255***	[0.082]	0.370***	[0.090]
																
Observations	124		122		124		128		122		126		131		132	
R-squared	0.117		0.023		0.000		0.000		0.006		0.006		0.004		0.015	
