S2 Number,Settlement,Pop,Area_ha,latitude,longitude,UrbanSytem,Area_sqkm
98,Vienne,4500,36,45.525587,4.874339,France & Belgium,0.36
99,Macon,4000,36,46.3068839,4.828731,France & Belgium,0.36
100,Geneva,3500,45,46.1983922,6.1422961,France & Belgium,0.45
101,Chalon-sur-Saone,3000,24,46.780764,4.853947,France & Belgium,0.24
102,Grenoble,3000,20,45.188529,5.724524,France & Belgium,0.2
103,Metz,26800,160,49.1193089,6.1757156,France & Belgium,1.6
104,Bergamo,12000,119,45.6982642,9.6772698,N. Italy,1.19
105,Brescia,45000,252,45.5415526,10.2118019,N. Italy,2.52
106,Como,12000,96,45.8080597,9.0851765,N. Italy,0.96
107,Cremona,45000,165,45.133249,10.0226511,N. Italy,1.65
108,Mantova,30000,215,45.1564168,10.7913751,N. Italy,2.15
109,Milano,150000,500,45.4654219,9.1859243,N. Italy,5
110,Monza,9000,56,45.5845001,9.2744485,N. Italy,0.56
111,Pavia,20000,158,45.1847248,9.1582069,N. Italy,1.58
112,Padova,40000,300,45.4064349,11.8767611,N. Italy,3
113,Venezia,110000,324,45.4408474,12.3155151,N. Italy,3.24
114,Verona,40000,380,45.4383842,10.9916215,N. Italy,3.8
115,Vicenza,20000,84,45.5454787,11.5354214,N. Italy,0.84
116,Genova,60000,220,44.4056499,8.946256,N. Italy,2.2
117,Bologna,50000,419,44.494887,11.3426163,N. Italy,4.19
118,Faenza,10000,80,44.2898527,11.8774091,N. Italy,0.8
119,Ferrara,12000,150,44.8381237,11.619787,N. Italy,1.5
120,Forli,14000,99,44.2227398,12.0407312,N. Italy,0.99
121,Modena,19000,150,44.6488366,10.9200867,N. Italy,1.5
122,Parma,25000,201,44.801485,10.3279036,N. Italy,2.01
123,Piacenza,23000,290,45.0526206,9.6929845,N. Italy,2.9
124,Ravenna,12000,110,44.4183598,12.2035294,N. Italy,1.1
125,Reggio Emilia,13000,100,44.6989932,10.6296859,N. Italy,1
126,Rimini,14000,48,44.0678288,12.5695158,N. Italy,0.48
127,Arezzo,18000,107,43.4632839,11.8796336,N. Italy,1.07
128,Firenze,110000,630,43.7695604,11.2558136,N. Italy,6.3
129,Pisa,30000,185,43.7228386,10.4016888,N. Italy,1.85
130,Pistoia,12000,115.5,43.9303475,10.9078587,N. Italy,1.155
131,Prato,13000,66,43.8777049,11.102228,N. Italy,0.66
132,Siena,50000,180,43.318809,11.3307574,N. Italy,1.8
133,Lucca,25000,95,43.843078,10.50272,N. Italy,0.95
134,Augsburg,25000,189,48.3705449,10.89779,Germany,1.89
135,Bamberg,8000,75,49.8988135,10.9027636,Germany,0.75
136,Bautzen,5000,70,51.182293,14.4237749,Germany,0.7
137,Bremen,12000,70,53.0792962,8.8016937,Germany,0.7
138,Dresden,5000,85,51.0504088,13.7372621,Germany,0.85
139,Erfurt,23300,133,50.984768,11.02988,Germany,1.33
140,Frankfurt am Main,13000,128,50.1109221,8.6821267,Germany,1.28
141,Goerlitz,7000,72,51.1506269,14.968707,Germany,0.72
142,Greifswald,8000,72,54.0865463,13.3923414,Germany,0.72
143,Halberstadt,6000,89,51.8948709,11.0496159,Germany,0.89
144,Hamburg,8000,88,53.5510846,9.9936818,Germany,0.88
145,Hannover,5000,54,52.3758916,9.7320104,Germany,0.54
146,Leipzig,3000,42,51.3396955,12.3730747,Germany,0.42
147,Luebeck,23600,200,53.8654673,10.6865593,Germany,2
148,Lueneburg,8000,56,53.2464214,10.4115179,Germany,0.56
149,Mainz,24500,120,49.9928617,8.2472526,Germany,1.2
150,Noerdlingen,10000,93,48.8508157,10.4894906,Germany,0.93
151,Nuernberg,13000,149,49.45203,11.07675,Germany,1.49
152,Paderborn,7000,70,51.7189205,8.7575093,Germany,0.7
153,Regensburg,11000,95,49.0134297,12.1016236,Germany,0.95
154,Rostock,14000,98,54.0924406,12.0991466,Germany,0.98
155,Stralsund,12000,72,54.3090654,13.0770347,Germany,0.72
156,Stuttgart,5000,50,48.7758459,9.1829321,Germany,0.5
157,Ulm,7300,75,48.4010822,9.9876076,Germany,0.75
158,Wismar,8000,58,53.8979416,11.4516022,Germany,0.58
159,Worms,18700,170,49.6341372,8.3507182,Germany,1.7
160,Wuerzburg,7000,72,49.7913044,9.9533548,Germany,0.72
161,Braunschweig,12000,115,52.2688736,10.5267696,Germany,1.15
162,Muehlhausen,7500,50,51.2098649,10.4571001,Germany,0.5
163,Strasbourg,20000,270,48.5734053,7.7521113,Germany,2.7
164,Basel,11000,75,47.5674422,7.5975507,Germany,0.75
165,Konstanz,6000,50,47.6779496,9.1732384,Germany,0.5
166,Zurich,9500,70,47.3908524,8.5226185,Germany,0.7
167,Aachen,20000,175,50.7753455,6.0838868,Germany,1.75
168,Dortmund,7000,72,51.5135872,7.4652981,Germany,0.72
169,Koeln,54000,400,50.937531,6.9602786,Germany,4
170,Muenster,16000,140,51.9606649,7.6261347,Germany,1.4
171,Osnabrueck,9000,98,52.2799112,8.0471788,Germany,0.98
172,Soest,11500,111,51.5711476,8.105754,Germany,1.11
173,Trier,12700,133,49.749992,6.6371433,Germany,1.33
